BrightBox,Project ID,Job Code,Address,Utility Company,TU Invoice,City,CAP date approved,Permit Approval Date,Created Date,Install Date,PTO Recorded Date,Project Status
TRUE,PR-2008443901,221R-003ALZA,3 Weathers Ln Bolton MA USA 01740,National Grid,"$2,966.86",Bolton,7/9/2022,3/21/2023,1/13/2023,4/19/2023,11/21/2023,Complete
TRUE,PR-3003230389,222R-005REI1,5 Moulton Rd Windham NH USA 03087,Eversource,"$1,418.76",Windham,12/5/2024,1/7/2025,2/18/2025,3/13/2025,4/24/2025,Complete
TRUE,PR-3002812006,224R-026ANAI,26 Pine St Ware MA USA 01082,National Grid,"$7,500.00",Ware,8/15/2024,9/13/2024,10/16/2024,11/21/2024,5/7/2025,Complete
TRUE,PR-3002819363,281R-094STFR,94 Manley Rd Milton VT USA 05468,Green Mountain Power,"$1,724.38",Milton,10/3/2024,10/14/2024,10/23/2024,4/10/2025,7/11/2025,Complete
TRUE,PR-3003392248,223R-095GOOD,95 Union St Bridgewater MA USA 02324,National Grid,"$9,812.68",Bridgewater,1/16/2025,4/30/2025,3/21/2025,5/6/2025,7/22/2025,Complete
TRUE,PR-3003717613,223R-65BQUIN,65 Bay Rd Norton MA USA 02766,National Grid,"$7,843.28",Norton,4/11/2025,5/9/2025,6/23/2025,8/4/2025,9/25/2025,Complete
TRUE,PR-3004307050,221R-555BELL,555 W Center Rd Otis MA USA 01253,Eversource,"$3,321.54",OTIS,8/16/2025,10/3/2025,8/28/2025,10/31/2025,12/1/2025,Complete
TRUE,PR-3003344455,222R-042GOME,42 Turner Ave Dracut MA USA 01826,National Grid,"$7,717.94",Dracut,12/12/2024,12/26/2024,2/17/2025,3/4/2025,12/2/2025,Complete
TRUE,PR-3003687812,222R-3WEFERR,3 Wellington St Methuen MA USA 01844,National Grid,"$12,110.46",METHUEN,3/21/2025,4/22/2025,8/4/2025,9/19/2025,12/15/2025,Complete
TRUE,PR-3004198708,221R-049MORT,49 Avery Rd Montgomery MA USA 01085,WMECO,"$1,925.08",Montgomery,9/10/2025,10/30/2025,11/5/2025,11/12/2025,1/5/2026,Complete
TRUE,PR-3003687630,221R-15GUREN,15 G and S Dr Dudley MA USA 01571,National Grid,"$8,213.44",DUDLEY,4/5/2025,4/28/2025,7/15/2025,8/19/2025,1/9/2026,Complete
TRUE,PR-3003162808,222R-035BUYE,35 Dale St North Andover MA USA 01845,National Grid,"$9,812.68",North Andover,10/18/2024,10/31/2024,3/14/2025,3/31/2025,1/26/2026,Complete
TRUE,PR-3004320153,221R-021GERO,21 Ocean St Pittsfield MA USA 01201,WMECO,"$2,743.65",LANESBOROUGH,8/26/2025,10/9/2025,9/9/2025,10/17/2025,1/26/2026,Complete
TRUE,PR-3004220091,222R-169BERG,169 Nutting Hill Rd Mason NH USA 03048,Eversource,"$4,977.15",Mason,7/31/2025,10/21/2025,11/14/2025,11/21/2025,1/28/2026,Complete
TRUE,PR-3004516245,221R-683DURM,683 Rogers Ave West Springfield MA USA 01089,WMECO,"$4,870.95",WEST SPRINGFIELD,10/15/2025,12/15/2025,10/30/2025,12/22/2025,2/9/2026,Complete
TRUE,PR-3004445633,221R-187WOOD,187 South Rd Ashby MA USA 01431,UNITIL,"$6,925.57",ASHBY,9/23/2025,12/23/2025,12/8/2025,12/31/2025,2/17/2026,Complete
TRUE,PR-3004312231,221R-099GOLD,99 Flanagan Dr Framingham MA USA 01701,Eversource,$200.00,FRAMINGHAM,9/10/2025,10/7/2025,12/15/2025,1/9/2026,2/20/2026,Complete
TRUE,PR-3004649371,222R-006HART,6 Keefe Rd Barrington NH USA 03825,Eversource,"$4,258.96",BARRINGTON,12/1/2025,12/16/2025,1/7/2026,1/17/2026,3/3/2026,Complete
TRUE,PR-3003540030,223R-857RIC1,1857 Turnpike St Stoughton MA USA 02072,National Grid,"$7,816.28",Stoughton,3/2/2025,3/12/2025,9/18/2025,10/21/2025,3/12/2026,Complete
TRUE,PR-3004556516,221R-019MADO2,19 Cypress St Greenfield MA USA 01301,WMECO,"$3,746.30",GREENFIELD,10/25/2025,12/29/2025,4/24/2026,1/8/2026,4/2/2026,Complete
TRUE,PR-3004733027,221R-108PITT,108 Lee Rd Deerfield MA USA 01373,WMECO,"$3,564.05",South Deerfield,12/28/2025,2/6/2026,1/6/2026,2/19/2026,4/14/2026,Complete
TRUE,PR-3004561117,221R-326BREO,326 Peckville Rd Shelburne MA USA 01370,WMECO,"$3,477.23",Shelburne,10/29/2025,1/5/2026,11/14/2025,1/16/2026,4/24/2026,Complete
TRUE,PR-3004596540,221R-099PERE2,99 Wall St Fitchburg MA USA 01420,UNITIL,"$14,608.21",FITCHBURG,11/14/2025,1/20/2026,12/31/2025,1/21/2026,5/6/2026,Complete
TRUE,PR-3004475401,221R-006DELA,6 Coldbrook Rd Millbury MA USA 01527,National Grid,"$2,027.12",Millbury,10/13/2025,10/23/2025,1/12/2026,2/5/2026,5/7/2026,Complete
TRUE,PR-3004562584,221R-106WOLF,106 Lafayette St Pittsfield MA USA 01201,WMECO,"$3,892.38",PITTSFIELD,10/29/2025,12/31/2025,11/25/2025,3/19/2026,5/21/2026,Complete
TRUE,PR-3004203360,223R-099LACA,99 Winter St Brockton MA USA 02302,National Grid,"$10,184.78",BROCKTON,9/18/2025,11/5/2025,2/13/2026,3/12/2026,5/21/2026,Complete
TRUE,PR-3004442803,221R-045SMIT,45 Parker St East Longmeadow MA USA 01028,National Grid,"$10,184.78",East Longmeadow,12/2/2025,1/9/2026,2/18/2026,3/10/2026,5/22/2026,Complete
TRUE,PR-3004689098,221R-019TARK,19 Coleman Rd Southampton MA USA 01073,WMECO,"$1,519.29",SOUTHAMPTON,12/9/2025,1/28/2026,1/7/2026,4/22/2026,5/22/2026,Complete
TRUE,PR-3004316328,223R-279PERE,279 Boylston St Brockton MA USA 02301,National Grid,"$17,020.21",BROCKTON,9/11/2025,11/5/2025,2/11/2026,-,-,Cancelled
